用户名,用户组,用户ID,完成时间
totty,江湖小虾,116397,2013-09-19 11:17:38
m7hao,无双隐士,216421,2013-09-19 09:09:25
woaihedaosansha,武林高手,217971,2013-09-18 22:00:01
