用户名,用户组,用户ID,完成时间
suyuchao,无双隐士,222478,2013-12-03 15:35:32
mage123456,无双隐士,185052,2013-12-03 15:35:26
dil11282031,世外高人,186137,2013-12-02 23:08:58
