用户名,用户组,用户ID,完成时间
at89c51,武林高手,230804,2014-10-23 20:27:07
ono100,江湖侠隐,228146,2014-10-16 10:17:05
dadalili,无双隐士,230974,2014-10-15 01:08:05
a7533006,世外高人,69902,2014-10-14 20:18:05
mallory,江湖侠隐,22586,2014-10-14 19:34:58
chensihong,风尘奇侠,230086,2014-10-14 18:59:06
liubin11281096,无双隐士,175954,2014-10-14 18:58:21
