用户名,用户组,用户ID,完成时间
wncut,后起之秀,199824,2013-03-08 23:39:01
csw742674509,无双隐士,208505,2013-03-08 20:18:29
kbjb521,无双隐士,156524,2013-03-08 17:58:58
Revenge23,无双隐士,209647,2013-03-08 17:37:52
yuwenfeiyun,世外高人,74776,2013-03-08 17:22:41
