用户名,用户组,用户ID,完成时间
smallgoldfish,江湖侠隐,88700,2013-03-11 10:43:50
man11001,后起之秀,205070,2013-03-10 21:07:35
zhangguobin,后起之秀,207034,2013-03-10 17:12:47
zg651082651,风尘奇侠,203826,2013-03-09 23:24:21
nynmmmm,武林高手,210099,2013-03-09 22:59:12
kuiyi6,后起之秀,207621,2013-03-09 22:43:29
JINGKD0408,世外高人,205331,2013-03-09 22:34:25
tom6161,无双隐士,105419,2013-03-09 20:45:07
yuwenfeiyun,世外高人,74776,2013-03-09 20:44:58
yasin,武林高手,179604,2013-03-09 20:44:34
pmsxz,武林高手,166589,2013-03-09 20:44:34
