用户名,用户组,用户ID,完成时间
ColorfulCode,世外高人,222533,2013-12-02 00:16:15
tom6161,无双隐士,105419,2013-12-01 22:54:26
huangluyao,风尘奇侠,221949,2013-12-01 14:21:21
jane6,无双隐士,202857,2013-12-01 13:30:46
hsr11321030,世外高人,172761,2013-12-01 13:21:31
cjns310,世外高人,183517,2013-12-01 13:18:15
ggtn2013,武林新丁,222915,2013-12-01 13:15:04
q960603,世外高人,219935,2013-12-01 13:14:47
killua27,世外高人,188129,2013-12-01 13:08:10
