用户名,用户组,用户ID,完成时间
sss67,VIP用户,89319,2017-10-10 15:21:22
vergil1,江湖侠隐,192902,2015-10-12 17:58:08
xy217zhai,世外高人,202944,2015-07-02 00:21:28
jyli14281009,武林新丁,231551,2014-11-07 13:50:11
dp90219,世外高人,120042,2014-10-19 13:39:51
dp90219,世外高人,120042,2014-10-19 12:50:15
grenk321321,世外高人,210947,2014-10-16 22:45:18
hujianxiao62,江湖侠隐,229219,2014-10-09 22:56:05
tpsavage0324,后起之秀,228812,2014-10-09 11:26:08
