用户名,用户组,用户ID,完成时间
yj5505,风尘奇侠,132599,2014-01-10 00:20:11
Crazyair,无双隐士,135597,2014-01-08 22:33:09
LGC123,无双隐士,148702,2014-01-08 15:03:26
