用户名,用户组,用户ID,完成时间
pct1994,无双隐士,224266,2014-01-06 20:43:39
sp1336542268,风尘奇侠,188237,2014-01-06 20:25:34
lahjhr,世外高人,198896,2014-01-06 17:07:25
wxy940910,江湖侠隐,209848,2014-01-06 17:05:32
Topology,武林高手,223510,2014-01-06 15:08:41
b449218583,武林高手,223726,2014-01-06 15:05:45
Iamxiangshengyu,江湖小虾,224172,2014-01-06 05:37:18
jiecuo,无双隐士,211792,2014-01-05 23:33:24
