序号,名称,网址后缀
57,"['[计算机][开放课程卡耐基梅隆大学开放课程:凸优化/Convex Optimization Carnegie.Mellon.Universitymp4 pdf2016.12][视频][2016年秋季课程包含讲课视频以及英文字幕,讲课PPT,讲义,板书(notes),以及课后作业]']",['/torrents/604061/']
58,['[人文社会][中国通史  General History of China 1080p HDTV 10Bit x265 Opus-CommIE][视频][mkv]'],['/torrents/603811/']
59,['[计算机][大数据教程2018][比较新的大数据教程]'],['/torrents/603699/']
60,['[人文社会][毛泽东选集(全).zip][文档]'],['/torrents/602637/']
61,"['[计算机][李刚疯狂一整套][文档][李刚的一套书,版本应该是能找到的最新的,包括:基本修养,java讲义,HTML 5_CSS 3_JavaScript讲义,XML讲义,轻量级Java EE,Ajax讲义,Android讲义,经典JAVA.EE]']",['/torrents/598969/']
62,['[人文社会][图解经典系列][文档][彩图扫描版PDF]'],['/torrents/598961/']
63,"['[计算机][计算机普林斯顿大学公开课Algorithms, Part I][视频][PPT+英字+中文教材]']",['/torrents/598935/']
64,['[考研][圣才罗默《高级宏观经济学》(第3版)][视频][主讲:刘维刚]'],['/torrents/598889/']
65,['[[得到]卓老板聊科技(全)][音频][普及科学思想更新人们陈旧的观念]'],['/torrents/598888/']
66,['[得到吴军-硅谷来信][音频][2017年7月全]'],['/torrents/598862/']
67,['[开放课程][算法设计与分析Design and Analysis of AlgorithmsMP42015][视频][MIT-OCW]'],['/torrents/598795/']
68,['[开放课程][斯坦福CS231n Spring 2017开放全部课程][视频][视频及相应slides]'],['/torrents/598776/']
69,['[外语][经济学人 有声读物 非扫描版PDF mobi epub MP3 20170729][文档][The.Economist. 20170805.MP3/PDF/EPUB/MOBI]'],['/torrents/598652/']
70,['[得到吴军-硅谷来信][音频][2017年6月全]'],['/torrents/598645/']
71,['[外语][经济学人/The Economist][2017.07.01/非扫描版PDF mobi epub MP3]'],['/torrents/598022/']
72,['[外语][经济学人/The Economist][2017.06.03/非扫描版PDF mobi epub MP3]'],['/torrents/597363/']
73,['[计算机][计算机计算机类 人像摄影完全自学手册自购图书附带资源 ][视频][自购图书]'],['/torrents/597351/']
74,['[计算机][大数据系统基础(自主模式)][视频][MOOC抓取计划课程]'],['/torrents/596859/']
75,['[外语][经济学人/The Economist][非扫描版PDF mobi epub MP3/20170513]'],['/torrents/596837/']
76,['[课件][线性代数的本质. Essence of Linear Algebra][视频][线性代数的一些基本理论知识]'],['/torrents/596817/']
