用户名,用户组,用户ID,完成时间
kebiyu,武林高手,233579,2016-12-01 19:47:48
huangzeyuan,世外高人,87875,2016-12-01 18:58:42
leeto316,无敌圣者,134034,2016-12-01 01:21:10
