用户名,用户组,用户ID,完成时间
howeraur,江湖侠隐,187387,2013-05-01 18:43:37
liu278181,无敌圣者,91815,2013-04-28 00:41:13
nwpuxinpeng,无双隐士,211112,2013-04-27 22:37:24
