用户名,用户组,用户ID,完成时间
zhuhaiyan,世外高人,200456,2014-07-31 12:54:11
lingger,武林高手,189811,2014-04-19 13:58:52
pan1990,世外高人,185410,2013-04-02 22:26:39
lilyalbb,世外高人,59123,2013-03-12 18:28:58
