用户名,用户组,用户ID,完成时间
parker1989,VIP用户,49729,2013-09-16 11:00:43
guoguo2504,江湖侠隐,194082,2013-09-12 09:21:34
puyun,江湖侠隐,76789,2013-09-11 13:20:52
